comments,cleaned_comments
Makin lama makin ke sini hukum semakin ga jelas...uu perampasan aset kenapa bertele tele...miris hidup di indonesia,hukum jelasuu ampas aset tele tir hidup indonesia
Gila bnr padahal di pilih dari suara rakyat,gila bnr pilih suara rakyat
HOUWWWWW...AKAN. ANYAK RAKYAT YANG DI PENJARA...DAN SEMAKIN BESAR PULA SIKSA DAN AZAB  PRESIDEN DAN WAKILNYA UNTYK DI AZAB  DI DUNIA DAN DI AKHIRAT .... PENJARAKAAAAN SEMUA RAKYATMU.....DAN BIARKAN KORUPTOR BEBAS.... HIDUP SUBUR DI NEGERI INI ....,hou anyak rakyat penjaradan siksa azab presiden wakil untyk azab dunia akhirat penjarakaaaan rakyatmudan biar koruptor bebas hidup subur negeri
Seru bisa rakyat semua  turun kejal ini  mantap,seru rakyat turun kejal mantap
Kaya anak teka undang2..begituh ga berbobot bpk undang2..yg bagus ..makan uang rakyat  mwkan uang pajak...makan duit kayu  nikel batu bara emas..masih banyak yg lainya...baru mantap indonesia maju..ini undang2  ngelindungin pejabat...,kaya anak teka undangbegituh bobot bpk undangyg bagus makan uang rakyat mwkan uang pajakmakan duit kayu nikel batu bara emasmasih lainyabaru mantap indonesia majuini undang ngelindungin jabat
Atur ajaseenaknya itu undang undang peninggalan belanda,atur ajaseenaknya undang undang tinggal belanda
UU perampasan aset dan hukum mati koruptor tidak pernah terjadi 🤣🤣🤣,ampas aset hukum mati koruptor
Perampasan aset. Dibiarin mangkrak. Biar penguasa bebas korupsi dan memeras rakyat,ampas aset dibiarin mangkrak biar kuasa bebas korupsi peras rakyat
Apa ini yg di sebut demokrasi..??,demokrasi
"Hukum ini berlaku bagi masarakat kecil yg kawin lari, jadi hukum ini di buat bagi masarat kecil saja",hukum laku masarakat kawin lari hukum masarat
Undang2 untuk daerah yg trtinggl ada tidak.,undang daerah trtinggl
Bok kasia masyarakat wis pajak bayar motor bayar sim bayar stnk bayar .kok yo dak mesake rakyat .umpomo saya punya  uang sekarung .pindah ning hutan jauh dari bising dan rakeno pajak tur rakokean dosa,bok kasia masyarakat wis pajak bayar motor bayar sim bayar stnk bayar dak mesake rakyat umpomo uang karung pindah ning hutan bising rakeno pajak tur rakokean dosa
Semakin terlihat komunis,komunis
