comments,cleaned_comments,sentiment,sentiment_label
Makin lama makin ke sini hukum semakin ga jelas...uu perampasan aset kenapa bertele tele...miris hidup di indonesia,hukum jelasuu ampas aset tele tir hidup indonesia,LABEL_2,0
Gila bnr padahal di pilih dari suara rakyat,gila bnr pilih suara rakyat,LABEL_2,0
HOUWWWWW...AKAN. ANYAK RAKYAT YANG DI PENJARA...DAN SEMAKIN BESAR PULA SIKSA DAN AZAB  PRESIDEN DAN WAKILNYA UNTYK DI AZAB  DI DUNIA DAN DI AKHIRAT .... PENJARAKAAAAN SEMUA RAKYATMU.....DAN BIARKAN KORUPTOR BEBAS.... HIDUP SUBUR DI NEGERI INI ....,hou anyak rakyat penjaradan siksa azab presiden wakil untyk azab dunia akhirat penjarakaaaan rakyatmudan biar koruptor bebas hidup subur negeri,LABEL_2,0
Seru bisa rakyat semua  turun kejal ini  mantap,seru rakyat turun kejal mantap,LABEL_0,2
Kaya anak teka undang2..begituh ga berbobot bpk undang2..yg bagus ..makan uang rakyat  mwkan uang pajak...makan duit kayu  nikel batu bara emas..masih banyak yg lainya...baru mantap indonesia maju..ini undang2  ngelindungin pejabat...,kaya anak teka undangbegituh bobot bpk undangyg bagus makan uang rakyat mwkan uang pajakmakan duit kayu nikel batu bara emasmasih lainyabaru mantap indonesia majuini undang ngelindungin jabat,LABEL_0,2
Atur ajaseenaknya itu undang undang peninggalan belanda,atur ajaseenaknya undang undang tinggal belanda,LABEL_2,0
UU perampasan aset dan hukum mati koruptor tidak pernah terjadi 🤣🤣🤣,ampas aset hukum mati koruptor,LABEL_2,0
Perampasan aset. Dibiarin mangkrak. Biar penguasa bebas korupsi dan memeras rakyat,ampas aset dibiarin mangkrak biar kuasa bebas korupsi peras rakyat,LABEL_2,0
Apa ini yg di sebut demokrasi..??,demokrasi,LABEL_0,2
"Hukum ini berlaku bagi masarakat kecil yg kawin lari, jadi hukum ini di buat bagi masarat kecil saja",hukum laku masarakat kawin lari hukum masarat,LABEL_2,0
Undang2 untuk daerah yg trtinggl ada tidak.,undang daerah trtinggl,LABEL_1,1
Bok kasia masyarakat wis pajak bayar motor bayar sim bayar stnk bayar .kok yo dak mesake rakyat .umpomo saya punya  uang sekarung .pindah ning hutan jauh dari bising dan rakeno pajak tur rakokean dosa,bok kasia masyarakat wis pajak bayar motor bayar sim bayar stnk bayar dak mesake rakyat umpomo uang karung pindah ning hutan bising rakeno pajak tur rakokean dosa,LABEL_2,0
Semakin terlihat komunis,komunis,LABEL_2,0
"😂😂😂😂😂😂😂😂😂 BUKAN DEMOKRASI INIIII MAH....DEMDUL...DEMOKRASI AMBURADUL....KAYA REZIM ZONGKOWIIII INIIIII  😂😂😂😂😂😂😂😂....KERAJAAAN AKAAAAAA LAH BUNG..,..😂😂😂😂😂",demokrasi iniiii mahdemduldemokrasi amburadulkaya rezim zongkowiiii iniiiii kerajaaan akaaaaaa,LABEL_2,0
Presiden dan pemerintah tidak mau di kritik,presiden perintah kritik,LABEL_2,0
apaapaan ini,apaapaan,LABEL_2,0
Astaghfirullah,astaghfirullah,LABEL_2,0
Pantas makin intens rakyat kritik pemerintahan Prabowo,intens rakyat kritik perintah prabowo,LABEL_1,1
Klo mereka masih berkelakuan kayak setan ya sudah benar klo disebut setan oleh rakyat,klo laku setan klo setan rakyat,LABEL_2,0
"Yang di tuntut Rakyat adalah ""UU Perampasan Asset"" kok malah yg di buat yang di harapkan...? aneeh...?",tuntut rakyat ampas asset harap aneeh,LABEL_2,0
